wordFrench, wordEnglish, wordPortuguese, nDaysReviewed, nDaysLastReview, nDaysCorrect, nDaysLastCorrect
Ne s'est pas vu,Hasn't been seen,Não foi visto,0,0,0,0
Poser une question,Make a question,Fazer uma pergunta,0,0,0,0
Dimanche,Sunday,Domingo,0,0,0,0
Oublier,Forget,Esquecer,0,0,0,0
Quelqu'un,Someone,Alguém,0,0,0,0
Tels que,Such that,Tais que,0,0,0,0
Répandre,Spread,Espalhar,0,0,0,0
Nuit,Early morning,Madrugada,0,0,0,0
Compter/Dire,Count,Contar,0,0,0,0
Éveil,Wake up,Despertar,0,0,0,0
Rien,Nothing,Nada,0,0,0,0
Après/Puis,After,Depois,0,0,0,0
Capable,Capable,Capaz,0,0,0,0
Grossier,Thick,Grosso,0,0,0,0
Question,Question,Pergunta,0,0,0,0
Dernier,Last,Último,0,0,0,0
Devoir,Duty,Dever,0,0,0,0
Étudier,Study,Estudar,0,0,0,0
Quand,When,Quando,0,0,0,0
Certains,Certain,Alguns,0,0,0,0
Soeur,Sister,Irmã,0,0,0,0
Encore merci,Thanks again,Obrigado novamente,0,0,0,0
Environ,Around,Aproximadamente,0,0,0,0
Même,Same,Mesmo,0,0,0,0
Frère,Brother,Irmão,0,0,0,0
Timide,Shy,Tímido,0,0,0,0
Soustraire,Subtract,Subtrair,0,0,0,0
Pleut,Rain,Chuva,0,0,0,0
Onglet,Tab,Guia,0,0,0,0
Septembre,September,Setembro,0,0,0,0
Oreiller,Pillow,Travesseiro,0,0,0,0
De rien,You are welcome,De nada,0,0,0,0
Fâché,Angry,Nervoso,0,0,0,0
Pessimiste,Pessimist,Pessimista,0,0,0,0
Droit,Right,Certo/Direita,0,0,0,0
Boulevard,Avenue,Avenida,0,0,0,0
Montrer,Show,Mostrar,0,0,0,0
Lequel,Which,Qual,0,0,0,0
Acheter,Buy,Comprar,0,0,0,0
Professeur,Professor,Professor,0,0,0,0
Exposé,Expose,Expor,0,0,0,0
Confirmer,Confirm,Confirmar,0,0,0,0
Vendredi,Friday,Sexta-feira,0,0,0,0
Connaître,Know,Conhecer,0,0,0,0
Pouvoir,Be able to,Poder/Ser Capaz,0,0,0,0
Prix,Price,Preço,0,0,0,0
Beaucoup,Much,Bastante,0,0,0,0
Te fais confiance,Trust you,Ter confiança em,0,0,0,0
Juillet,July,Julho,0,0,0,0
Être,Be,Ser,0,0,0,0
Encore plus,More yet,Ainda mais,0,0,0,0
Jour,Day,Dia,0,0,0,0
Ouvrir,Open,Abrir,0,0,0,0
Venir,Come,Vir,0,0,0,0
Commodes,Shelf,Cômoda,0,0,0,0
Étagére,Shelf,Prateleira,0,0,0,0
Événement,Event,Evento,0,0,0,0
Lune,Moon,Lua,0,0,0,0
Pour quoi,Why,Por que/Para que,0,0,0,0
Aider,Aid/Help,Ajudar,0,0,0,0
Pourtant,Yet,Contudo,0,0,0,0
Retrouver,Find/Retrieve,Encontrar,0,0,0,0
Pas de problème,No problem,Sem problema,0,0,0,0
Plutôt,Instead of,Em vez de,0,0,0,0
Pendant que,While,Enquanto,0,0,0,0
Au fond de,At the end of,No fundo de,0,0,0,0
Télévision,Television,Televisão,0,0,0,0
Général,Generally,Geralmente,0,0,0,0
Fenêtre,Window,Janela,0,0,0,0
Avis,Notice,Perceber,0,0,0,0
Chercher,Look for,Procurar,0,0,0,0
Envoyer,Send,Enviar,0,0,0,0
Décrire,Describe,Descrever,0,0,0,0
Modeler,Model,Modelar,0,0,0,0
Miroir,Mirror,Espelho,0,0,0,0
Donc,So,Então,0,0,0,0
Argent,Money,Dinheiro,0,0,0,0
Dégager,Clean,Limpar,0,0,0,0
Naître,Being born,Nascer,0,0,0,0
Memoire,Memory,Memória,0,0,0,0
Froid,Cold,Frio,0,0,0,0
Bavarde,Talker,Falante/Tagarela,0,0,0,0
A peu près/Plus au moins,More or less,Mais ou menos,0,0,0,0
Ouvert,To open,Abrir,0,0,0,0
Comment,How,Como,0,0,0,0
Multiplier,Multiply,Multiplicar,0,0,0,0
Placard,Closet,Armário,0,0,0,0
Bien,Good,Bem,0,0,0,0
Coussin,Cushion,Almofada,0,0,0,0
Réussir,Sucess,Sucesso,0,0,0,0
Savoir,Know,Saber,0,0,0,0
Falloir,Have to,Ter de,0,0,0,0
Nouveau,New,Novo,0,0,0,0
Nièce,Nièce,Sobrinha,0,0,0,0
Aime,Like,Gostar,0,0,0,0
Derrière,Behind,Atrás,0,0,0,0
Voilá,That's it,É isso,0,0,0,0
Janvier,January,Janeiro,0,0,0,0
Appeler,Call,Chamar,0,0,0,0
Pour,For,Para,0,0,0,0
Four,Oven,Forno,0,0,0,0
Soleil,Sun,Sol,0,0,0,0
Rideau,Drape,Cortina,0,0,0,0
Hier,Yesterday,Ontem,0,0,0,0
Chambre,Chaimbers/Bedroom,Quarto,0,0,0,0
Partager,Share,Compartilhar,0,0,0,0
Frigo,Fridge,Geladeira,0,0,0,0
Âge,Age,Idade,0,0,0,0
Par contre,Actually,No entanto,0,0,0,0
Côte,Side,Lado,0,0,0,0
Photo,Photo,Foto,0,0,0,0
Penser,Think,Pensar,0,0,0,0
Mars,March,Março,0,0,0,0
Obéir,Obey,Obedecer,0,0,0,0
Je vous en prie,Please,Por favor,0,0,0,0
Balle,Ball,Bola,0,0,0,0
Agencée,Aranged,Arranjado/Disposto,0,0,0,0
Loin,Far,Longe,0,0,0,0
Structure,Structure,Estrutura,0,0,0,0
Sortir,Hang out,Sair,0,0,0,0
Sur,About/Above,Sobre,0,0,0,0
On commence,We started,Começamos,0,0,0,0
Conception,Project,Projetar,0,0,0,0
Qui,Who,Quem,0,0,0,0
Optimiste,Optimist,Otimista,0,0,0,0
Donner,Give/Donate,Dar/Doar,0,0,0,0
Four micro-ondas,Microwave,Micro-ondas,0,0,0,0
Charette,Small car,Carrinho,0,0,0,0
On y va,Here we go,Aqui vamos nós,0,0,0,0
Autre,Other,Outro,0,0,0,0
Enregistrer,Record,Gravar,0,0,0,0
Neveu,Nephew,Sobrinho,0,0,0,0
Rencontrer,Find,Encontrar,0,0,0,0
Avoir,Have,Ter,0,0,0,0
Baignoire,Bathtub,Banheira,0,0,0,0
Rêveuse,Dreamer,Sonhador,0,0,0,0
Jusqu'a,Untill,Até,0,0,0,0
Tenir,Maintain,Manter,0,0,0,0
Devenir,Become,Tornar,0,0,0,0
Lundi,Monday,Segunda-feira,0,0,0,0
Asseoir,Sit,Sentar,0,0,0,0
Weekend,Weekend,Fim de semana,0,0,0,0
D'abord,Firstly,Primeiramente,0,0,0,0
Drôle,Funny,Engraçado,0,0,0,0
Constant,Constant,Constante,0,0,0,0
Proche,Next to,Próximo,0,0,0,0
Chaque,Each,Cada,0,0,0,0
Jeudi,Thursday,Quinta-feira,0,0,0,0
Quotidienne,Daily,Cotidiano,0,0,0,0
Faire,Do,Fazer,0,0,0,0
En soi,In itself,Em si,0,0,0,0
Nourriture,Food,Comida,0,0,0,0
Changer,Change,Mudar,0,0,0,0
Remplacer,Replace,Substituir,0,0,0,0
Similaire,Similar,Parecido,0,0,0,0
Avoir besoin de,Need,Precisar de,0,0,0,0
Merci,Thanks,Obrigado,0,0,0,0
Cuisine,Kitchen,Cozinha,0,0,0,0
Maison,House,Casa,0,0,0,0
Chanter,Sing,Cantar,0,0,0,0
Tapis,Carpet,Tapete,0,0,0,0
Cueillir,Spoon,Colher,0,0,0,0
Démarrer,Initiate,Iniciar,0,0,0,0
Déroule,Unroll,Desenrolar,0,0,0,0
Découvrie,Discover,Descobrir,0,0,0,0
Voir,See,Ver,0,0,0,0
Mot,Word,Palavra,0,0,0,0
Ordinateur,Computer,Computador,0,0,0,0
Sous,Beneath,Abaixo,0,0,0,0
Venir,Come,Vir,0,0,0,0
Rond,Round,Redondo,0,0,0,0
Abonner,Sign,Assinar,0,0,0,0
Effacer,Erase,Apagar,0,0,0,0
Mai,May,Maio,0,0,0,0
Laisse tomber,Forget about it,Deixa pra lá,0,0,0,0
Tante,Aunt,Tia,0,0,0,0
Vouloir,Want,Querer,0,0,0,0
Terre,Earth,Terra,0,0,0,0
Avenir,Future,Futuro,0,0,0,0
Près,Near,Perto,0,0,0,0
Évalué,Evaluated,Avaliado,0,0,0,0
Chaise,Chair,Cadeira,0,0,0,0
Sentir,Feel,Sentir,0,0,0,0
Danser,Dance,Dançar,0,0,0,0
Trotoir,Sidewalk,Calçada,0,0,0,0
Pas de soucis,No problem,Sem problema,0,0,0,0
Courir,Run,Correr,0,0,0,0
Quartier,Neighborhood,Bairro,0,0,0,0
Diviser,Divide,Dividir,0,0,0,0
Mercredi,Wednesday,Quarta-feira,0,0,0,0
Tout,All,Tudo,0,0,0,0
Parler,Speak,Falar,0,0,0,0
Ça y est,That's it,É isso,0,0,0,0
Air,Air,Ar,0,0,0,0
Phrase,Phrase,Frase,0,0,0,0
Table,Table,Mesa,0,0,0,0
Acquérir,Acquire,Adquirir,0,0,0,0
Rechercher,Research,Pesquisar,0,0,0,0
Après midi,Mid day,Meio dia,0,0,0,0
Combien,How much/How many,Quanto,0,0,0,0
Tiroir,Drawer,Gaveta,0,0,0,0
Comprenez,Understand,Compreender/Entender,0,0,0,0
Depuis,Since,Desde,0,0,0,0
Rester,Rest,Permanecer,0,0,0,0
Faut,Must,Deve,0,0,0,0
Samedi,Saturday,Sábado,0,0,0,0
Devant,In front of,Em frente de,0,0,0,0
Différent,Different,Diferente,0,0,0,0
Toujors,Always,Sempre,0,0,0,0
Gauche,Left,Esquerda,0,0,0,0
Mince,Slim,Magro,0,0,0,0
Quoi de neuf,What are the news,Quais as novas,0,0,0,0
Votre avis,Your opinion,Sua opinião,0,0,0,0
Appuyer,Press,Apoiar/Pressionar,0,0,0,0
Appris,Learned,Aprendido,0,0,0,0
Gros,Fat,Gordo,0,0,0,0
Avant,Before,Antes,0,0,0,0
Dehors,Outside,Fora,0,0,0,0
S'Il vous plaît,Please,Por favor,0,0,0,0
Selon,Acording to,De acordo com,0,0,0,0
Sembler,Resemble,Parecer,0,0,0,0
Voyage,Trip,Viagem,0,0,0,0
Bureau,Table,Mesa,0,0,0,0
Canapé,Sofa,Sofá,0,0,0,0
Reproche,Reproval,Reprovação,0,0,0,0
Tourner,Turn,Vez,0,0,0,0
Grand-mère,Grandmother,Vó,0,0,0,0
Grand-père,Grandfather,Vô,0,0,0,0
Travailler,Work,Trabalhar,0,0,0,0
Trop,(Too) much,Demais,0,0,0,0
Tour,Turn,Volta,0,0,0,0
Sommeil,Sleepy,Sono,0,0,0,0
Amour,Love,Amor,0,0,0,0
Cousin,Cousin,Primo,0,0,0,0
Lampe,Lamp,Lâmpada,0,0,0,0
Entretien,Interview,Entrevista,0,0,0,0
Recevoir,Receive,Receber,0,0,0,0
Sauter,Jump,Saltar,0,0,0,0
Marcher,Walk,Andar,0,0,0,0
Standard,Standard,Padrão,0,0,0,0
Boire,Drink,Beber,0,0,0,0
Est-ce que tu peux,Could you,Poderia,0,0,0,0
Exprimer,Express,Expressar,0,0,0,0
Rêver,Dream,Sonhar,0,0,0,0
Durée,Duration,Duration,0,0,0,0
Fille,Daughter,Filha,0,0,0,0
Fils,Son,Filho,0,0,0,0
Que/Quoi,What,Que,0,0,0,0
Apaiser,Calm down,Acalmar,0,0,0,0
Jamais,Never,Jamais/Nunca,0,0,0,0
Aussi,Also,Também,0,0,0,0
Entre,Between,Entre,0,0,0,0
Vendre,Sell,Vender,0,0,0,0
Repérez,Notice,Reparar,0,0,0,0
Au revoir,Goodbye,Tchau,0,0,0,0
Oncle,Uncle,Tio,0,0,0,0
Bas-là,There,Ali,0,0,0,0
Continuer,Continue,Continuar,0,0,0,0
Horlage,Clock,Relógio,0,0,0,0
Tableau,Painting,Pintura,0,0,0,0
Août,August,Agosto,0,0,0,0
Regarder,Look,Olhar,0,0,0,0
Ajouter,Add,Acrescentar,0,0,0,0
Répéter,Repeat,Repetir,0,0,0,0
Madame,Lady/Madam,Senhora,0,0,0,0
Suivante,Next,Próximo,0,0,0,0
Lit,Bed,Cama,0,0,0,0
Triangle,Triangle,Triângulo,0,0,0,0
Monsier,Sir,Senhor,0,0,0,0
Novembre,November,Novembro,0,0,0,0
Avons,Have,Ter,0,0,0,0
Graisse,Fat,Gordura,0,0,0,0
Parfois,Sometimes,Às vezes,0,0,0,0
Souci,Worry,Preocupação,0,0,0,0
Douche,Bath,Banho/Ducha,0,0,0,0
Dans,In,No,0,0,0,0
Attendez,Wait,Esperar,0,0,0,0
N'est pas encore,Not yet,Ainda não,0,0,0,0
Avril,April,Abril,0,0,0,0
Habite,Live,Morar/Residir,0,0,0,0
Lorsque,When,Quando,0,0,0,0
Métier,Work,Trabalho,0,0,0,0
Jeune,Young,Jovem,0,0,0,0
Encore,Again/Still,De novo/Ainda,0,0,0,0
Demain,Tomorrow,Amanhã,0,0,0,0
Mais,But,Mas,0,0,0,0
Avec,With,Com,0,0,0,0
C'est parti,Let's go,Vamos,0,0,0,0
Sérviette,Towel,Toalha,0,0,0,0
Passé,Pass,Passar,0,0,0,0
Planète,Planet,Planeta,0,0,0,0
Arrêter,Stop,Parar,0,0,0,0
Rentre,Return,Voltar à,0,0,0,0
Coucher,Lay down,Deitar,0,0,0,0
Point,Point,Apontar,0,0,0,0
Oú,Where,Onde,0,0,0,0
Balayer,Sweep,Varrer,0,0,0,0
Février,February,Fevereiro,0,0,0,0
Pleuvoir,Rain,Chover,0,0,0,0
Feu,Fire,Fogo,0,0,0,0
Ici,Here,Aqui,0,0,0,0
Pivoter,Turn around,Girar,0,0,0,0
Vacance,Vacation,Férias,0,0,0,0
Porte,Door,Porta,0,0,0,0
Plante,Plant,Planta,0,0,0,0
Plus,More/Plus,Mais,0,0,0,0
Alors,So,Então,0,0,0,0
Tâche,Task,Tarefa,0,0,0,0
Quelque,Some,Algum,0,0,0,0
Départ,Depart,Partida,0,0,0,0
Fonction,Function,Função,0,0,0,0
Aller,Go,Ir,0,0,0,0
Égal,Equal,Igual,0,0,0,0
Considérer,Consider,Considerar,0,0,0,0
Loisir,Leisure,Lazer,0,0,0,0
Rendez compte,Comprehend,Entender,0,0,0,0
Très,Many,Muito,0,0,0,0
Inverser,Revert,Reverter,0,0,0,0
Chez,At (home),Em (casa),0,0,0,0
Souhaitez,Wish,Desejar,0,0,0,0
Décembre,December,Dezembro,0,0,0,0
Mardi,Tuesday,Terça-feira,0,0,0,0
Mère,Mom,Mãe,0,0,0,0
Poids,Weight,Peso,0,0,0,0
Envisage,Consider,Considerar,0,0,0,0
Épreuve,Test,Teste,0,0,0,0
Mourir,Die,Morrer,0,0,0,0
Chose,Thing,Coisa,0,0,0,0
Encore une fois,Another time,Outra vez,0,0,0,0
Cólere,Anger,Raiva,0,0,0,0
Rappeler,Recall/Remember,Lembrar,0,0,0,0
Plaque,Plate,Prato,0,0,0,0
Mois,Month,Mês,0,0,0,0
Le récit,History,História,0,0,0,0
Sans,Without,Sem,0,0,0,0
Bonheur,Happiness,Felicidade,0,0,0,0
En ligne,Online,Online,0,0,0,0
Couloir,Hallway,Corredor,0,0,0,0
Carré,Squared,Quadrado,0,0,0,0
Fin,Thin,Fino,0,0,0,0
Anée,Year,Ano,0,0,0,0
Eau,Water,Água,0,0,0,0
Ami,Friend,Amigo,0,0,0,0
Petite fille,Grandaughther,Neta,0,0,0,0
Juin,June,Junho,0,0,0,0
Père,Father,Pai,0,0,0,0
Je,I,Eu,0,0,0,0
Il y a,There is,Há,0,0,0,0
Additioner,Add,Somar,0,0,0,0
Font,Do,Fazer,0,0,0,0
Prendre,Tie,Prender,0,0,0,0
Octobre,October,Outubro,0,0,0,0
Au,At/In,Em/No,0,0,0,0
Entendre,Listen/Hear,Escutar/Ouvir,0,0,0,0
École,School,Escola,0,0,0,0
Peler,Peel,Descascar,0,0,0,0
Petit enfant,Grandson,Neto,0,0,0,0
Lavabo,Sink,Pia,0,0,0,0
Prochaine,Near,Próximo,0,0,0,0
Attacher,Attach,Prender,0,0,0,0
Chaud,Hot,Quente,0,0,0,0
Valoir,Worth,Valer,0,0,0,0
Pognon,Money,Grana,0,0,0,0
Portée,Reach,Alcance,0,0,0,0
Main,Hand,Mão,0,0,0,0
Appartenir,Belong,Pertencer,0,0,0,0
Passer,Happen,Acontecer,0,0,0,0
Collier,Necklace,Colar,0,0,0,0
Prévu,Expected,Previsto,0,0,0,0
Voler,Rob,Roubar,0,0,0,0
Accepter,Accept,Aceitar,0,0,0,0
Avancer,Advance,Avançar,0,0,0,0
Commencer,Initiate,Começar,0,0,0,0
Croire,Believe,Crer,0,0,0,0
Devenir,Become,Tornar-se,0,0,0,0
Demander,Ask,Perguntar,0,0,0,0
Dormir,Sleep,Dormir,0,0,0,0
Écouter,Listen,Escutar,0,0,0,0
Empêcher,Prevent,Prevenir,0,0,0,0
Entre,Enter,Entrar,0,0,0,0
Espérer,Wait something from someone,Esperar algo de alguém,0,0,0,0
Essayer,Try,Tentar,0,0,0,0
Être,Be,Ser,0,0,0,0
Éviter,Avoid,Evitar,0,0,0,0
Exister,Exist,Existir,0,0,0,0
Expliquer,Explain,Explicar,0,0,0,0
Fermer,Close,Fechar,0,0,0,0
Garder,Store,Guardar,0,0,0,0
Laisser,Let,Deixar,0,0,0,0
Lire,Read,Ler,0,0,0,0
Mettre,Put,Colocar,0,0,0,0
Monter,Go up,Subir,0,0,0,0
Obtenir,Obtain,Obter,0,0,0,0
Offrir,Offer,Oferecer,0,0,0,0
Oublier,Forget,Esquecer,0,0,0,0
Passer,Pass,Passar,0,0,0,0
Payer,Pay,Pagar,0,0,0,0
Perdre,Loose,Perder,0,0,0,0
Permettre,Allow,Permitir,0,0,0,0
Porter,Hold/Port,Carregar/Portar,0,0,0,0
Poser,Demote,Rebaixar,0,0,0,0
Pousser,Push,Empurrar,0,0,0,0
Présenter,Present,Apresentar,0,0,0,0
Quitter,Quit,Desistir,0,0,0,0
Refuser,Refuse,Recusar,0,0,0,0
Rendre,Give back,Devolver,0,0,0,0
Revenir,Return,Retornar/Voltar,0,0,0,0
Suivre,Follow,Seguir,0,0,0,0
Tenir,Hold,Segurar,0,0,0,0
Tirer,Pull,Puxar,0,0,0,0
Toucher,Touch,Tocar,0,0,0,0
Trouver,Find,Encontrar,0,0,0,0
Vendre,Sell,Vender,0,0,0,0
Vivre,Live,Viver,0,0,0,0
S'occuper,Take care of,Cuidar de,0,0,0,0
Prope,Own,Própria,0,0,0,0
On se dépêche,Dispatch,Dispachem-se,0,0,0,0
Debut,Beggining,Começo,0,0,0,0
Entretien (d'embauche),(Job interview) / Maintenance,(Entrevista de emprego) / Manutenção,0,0,0,0
Oui/Ouais,Yes/Yeah,Sim,0,0,0,0
Enchères,Auction,Leilão,0,0,0,0
Dépasser,Exceed,Passar de,0,0,0,0
Raisoir,Razor,Navalha,0,0,0,0
Deviner,Guess,Advinha,0,0,0,0
On verra,Let's see,Vamos ver,0,0,0,0
Thune,Money,Grana,0,0,0,0
Décoller,Get some,Descolar,0,0,0,0
Reposer,Rest,Descansar/Repousar,0,0,0,0
Oseille,Sour,Azedo,0,0,0,0
Dépenser,Spend,Gastar (dinheiro),0,0,0,0
Jeter,Launch,Atirar/Lançar,0,0,0,0
Lancer,Launch,Lançar,0,0,0,0
De suite,Following,Em seguida,0,0,0,0
Peur,Fear,Medo,0,0,0,0
Chemise,Shirt,Camisa,0,0,0,0
Ainsi,This,Assim,0,0,0,0
